image1,image2,preferred,prompt,timestamp,rater_id,response_time_ms
images/saeed-ghavam-shahidi-i38Wgx6RRN0-unsplash.jpg,images/samuel-arkwright-Pi9wWFYTy2I-unsplash.jpg,1.0,,2025-03-24T17:37:23.456971,default,11672.931
images/chen-zy-ccr9dAWi0hw-unsplash.jpg,images/cheng-lin-BJmFkjQFq44-unsplash.jpg,2.0,,2025-03-24T17:37:36.436067,default,12568.59
images/johannes-andersson-a5c9WeJU8WQ-unsplash.jpg,images/dennis-yu-Nr8BIhkjwQY-unsplash.jpg,2.0,,2025-03-24T17:37:44.374090,default,7466.896000000001
images/lerone-pieters-Kx25S1nd9UE-unsplash.jpg,images/johannes-andersson-a5c9WeJU8WQ-unsplash.jpg,1.0,,2025-03-24T17:37:48.223295,default,3569.4539999999997
images/marek-piwnicki-3f22ob_rtnA-unsplash.jpg,images/samuel-arkwright-Pi9wWFYTy2I-unsplash.jpg,1.0,,2025-03-24T17:37:51.127562,default,2514.0989999999997
images/intricate-explorer-N3stduCK5Ms-unsplash.jpg,images/wietse-jongsma-h-huws0YRo8-unsplash.jpg,2.0,,2025-03-24T17:38:16.881716,default,25194.39
images/ingmar-h-w0LJ3X-3qgY-unsplash.jpg,images/arpit-rastogi-eLYtlDkpkXw-unsplash.jpg,2.0,,2025-03-24T17:38:24.935884,default,7756.731000000001
images/frode-myklebust-rHs9qFMrcDk-unsplash.jpg,images/wietse-jongsma-h-huws0YRo8-unsplash.jpg,1.0,,2025-03-24T17:38:28.752639,default,3583.482
images/the-chaffins-1KDauE4oF0o-unsplash.jpg,images/chen-zy-ccr9dAWi0hw-unsplash.jpg,1.0,,2025-03-24T17:38:30.877548,default,1726.25
images/samuel-arkwright-Pi9wWFYTy2I-unsplash.jpg,images/wietse-jongsma-h-huws0YRo8-unsplash.jpg,2.0,,2025-03-24T17:38:32.890147,default,1672.304
images/marek-piwnicki-zV2zh23STCk-unsplash.jpg,images/ingmar-h-w0LJ3X-3qgY-unsplash.jpg,1.0,,2025-03-24T17:38:45.902496,default,8586.811000000002
images/karsten-winegeart-yg1_KJ66Afc-unsplash.jpg,images/ingmar-h-w0LJ3X-3qgY-unsplash.jpg,2.0,,2025-03-24T17:38:48.197689,default,2025.801
images/pascal-debrunner-Xk317d8TtEo-unsplash.jpg,images/ingmar-h-w0LJ3X-3qgY-unsplash.jpg,1.0,,2025-03-24T17:38:51.599986,default,3032.577
